Name,RA,DEC
TIC230087585,16.475042,69.030975
TIC230088370,16.490446,71.505872
TIC159510109,16.502316,80.307756
TIC255930614,16.508199,38.347535
TIC207501148,16.510475,56.399869
TIC232568235,16.511133,49.046789
TIC233009109,16.550216,72.925534
TIC198211976,16.555552,63.524496
TIC198213332,16.562236,61.718333
TIC198212955,16.57022,60.195927
TIC233497719,16.634666,77.756401
TIC198241702,16.646443,64.559181
TIC367739494,16.692199,80.04588
TIC233500935,16.715993,76.449587
TIC230127302,16.741058,70.429992
TIC462615350,16.741279,60.086043
TIC289539327,16.775565,65.71503
TIC289580577,16.831322,61.173577
TIC115446313,16.831459,47.316983
TIC199688472,16.876022,57.97415
TIC289590465,16.896186,65.293961
TIC287139872,16.897432,60.70962
TIC115524421,16.942033,44.302536
TIC356016119,16.942836,70.027316
TIC356700488,16.96371,68.699581
TIC224596152,16.966886,57.305263
TIC115583726,16.972567,45.936445
TIC459969957,16.987744,65.747438
TIC459970307,16.994936,64.699211
TIC224600500,16.997239,58.462633
TIC82452140,17.006504,39.73025
TIC115623434,17.016386,45.386283
TIC367753709,17.026714,79.067126
TIC459978312,17.037694,64.600893
TIC198356533,17.075917,56.842549
TIC219850915,17.085304,69.519093
TIC21744120,17.089758,33.012325
TIC198360694,17.106745,57.661033
TIC198588220,17.107382,44.776885
TIC219852882,17.108178,68.843303
TIC307956397,17.110818,63.778635
TIC219852584,17.11148,67.871503
TIC219854185,17.118043,70.238481
TIC21832928,17.13212,32.105303
TIC237108272,17.14263,78.587055
TIC219857012,17.155258,71.876672
TIC219860288,17.183155,71.872204
TIC198384408,17.185672,56.658901
TIC441732151,17.191783,72.135555
TIC198385543,17.196998,54.527848
TIC198390247,17.214885,57.197778
TIC441739020,17.267817,72.161181
TIC232612416,17.268239,63.105607
TIC441738827,17.283636,72.747023
TIC441739871,17.304278,74.302721
TIC101721385,17.341078,38.242168
TIC233680651,17.353537,63.239282
TIC233681149,17.357654,65.012281
TIC233684293,17.384192,63.110741
TIC233684822,17.393526,64.862363
TIC9828416,17.406426,33.205073
TIC219879302,17.40863,67.989121
TIC219751469,17.413323,61.423521
TIC39200363,17.416255,32.798397
TIC188768068,17.423306,52.790472
TIC441765914,17.424993,75.88228
TIC198456933,17.455784,58.214352
TIC198457103,17.461402,57.510557
TIC88840705,17.505955,40.369465
TIC219762508,17.507018,63.123014
TIC219776325,17.569561,61.121472
TIC88992642,17.583872,40.695043
TIC219778329,17.590138,64.380132
TIC88996391,17.596291,36.196492
TIC441798995,17.60986,77.126216
TIC321668398,17.617535,53.021275
TIC321669174,17.620151,53.025567
TIC441797803,17.625263,73.261193
TIC270515566,17.630269,47.230289
TIC320525204,17.664103,56.078972
TIC1400770435,17.664103,56.078974
TIC332477926,17.706287,57.447771
TIC165527918,17.742247,54.090971
TIC165530380,17.76043,59.514199
TIC233211762,17.779072,70.784502
TIC165551882,17.784489,57.226662
TIC165554103,17.795438,55.872814
TIC308172249,17.818992,29.879043
TIC341815197,17.820478,54.415932
TIC1400212743,17.82364,40.457105
TIC341815767,17.834681,54.636127
TIC116242971,17.842699,36.570176
TIC356311210,17.867738,53.730699
TIC116264089,17.868607,37.546327
TIC219821826,17.868636,62.79094
TIC159742538,17.886956,37.21174
TIC233047097,17.910727,60.356411
TIC159815224,17.921597,40.167475
