Name,RA,DEC
TIC333473672,23.616055,39.639279
TIC367858035,23.649439,75.685232
TIC176899385,23.651606,42.465987
TIC176860064,23.655777,45.719851
TIC345143460,23.683115,57.485242
TIC272049972,23.694444,62.921485
TIC409520860,23.696793,37.186566
TIC272625214,23.754572,62.142699
TIC272828463,23.772589,60.487025
TIC366074069,23.784705,69.049522
TIC177244357,23.799713,47.655601
TIC431514478,23.800085,49.790533
TIC470709084,23.82454,61.682819
TIC431585347,23.844936,50.354962
TIC378291076,23.880909,61.36026
TIC378355116,23.883226,60.481667
TIC470852531,23.982745,61.554089
TIC265460043,23.990207,68.384119
