target name,ever observable,always observable,fraction of time observable
TIC99869022,True,False,0.0502283105022831
TIC99834717,True,False,0.0182648401826484
TIC9837861,True,False,0.2557077625570776
TIC9828416,True,False,0.3926940639269406
TIC96291218,True,False,0.4657534246575342
TIC95129101,True,False,0.4840182648401826
TIC9392421,True,False,0.3698630136986301
TIC9348006,True,False,0.3926940639269406
TIC92783821,True,False,0.2876712328767123
TIC900715901,False,False,0.0
TIC89759617,True,False,0.2876712328767123
TIC8967242,True,False,0.4520547945205479
TIC89643259,True,False,0.3470319634703196
TIC89510024,True,False,0.410958904109589
TIC89389197,True,False,0.4200913242009132
TIC88996391,True,False,0.319634703196347
TIC88992642,True,False,0.228310502283105
TIC88840705,True,False,0.2328767123287671
TIC8767448,True,False,0.4474885844748858
TIC87090944,True,False,0.2146118721461187
TIC86396382,True,False,0.4703196347031963
TIC86280613,True,False,0.0776255707762557
TIC85293053,True,False,0.4474885844748858
TIC85242435,True,False,0.1187214611872146
TIC85031598,True,False,0.1689497716894977
TIC8400842,True,False,0.2191780821917808
TIC8348911,True,False,0.45662100456621
TIC83210867,True,False,0.3105022831050228
TIC82452140,True,False,0.2557077625570776
TIC82010657,True,False,0.2100456621004566
TIC81831095,True,False,0.1963470319634703
TIC81212286,True,False,0.1552511415525114
TIC76419763,True,False,0.2968036529680365
TIC76197937,True,False,0.273972602739726
TIC75878355,True,False,0.2465753424657534
TIC75656058,True,False,0.2694063926940639
TIC73448352,True,False,0.4657534246575342
TIC73104318,True,False,0.2146118721461187
TIC71854745,True,False,0.3059360730593607
TIC71612483,True,False,0.45662100456621
TIC71431780,True,False,0.0593607305936073
TIC71347873,True,False,0.0547945205479452
TIC69997672,True,False,0.3835616438356164
TIC69679391,True,False,0.4063926940639269
TIC68152139,True,False,0.4429223744292237
TIC68035559,True,False,0.3561643835616438
TIC67926921,True,False,0.3242009132420091
TIC67666096,True,False,0.3789954337899543
TIC67646988,True,False,0.4429223744292237
TIC67418624,True,False,0.4429223744292237
TIC67309890,False,False,0.0
TIC66783360,False,False,0.0
TIC66445643,False,False,0.0
TIC64836837,False,False,0.0
TIC64553698,False,False,0.0
TIC58542531,True,False,0.4885844748858447
TIC53875855,True,False,0.4520547945205479
TIC53709089,True,False,0.2420091324200913
TIC53617134,True,False,0.2054794520547945
TIC53427308,True,False,0.1872146118721461
TIC52041724,True,False,0.2054794520547945
TIC51234631,True,False,0.1552511415525114
TIC51024887,True,False,0.2009132420091324
TIC50120414,True,False,0.2009132420091324
TIC4897275,True,False,0.4474885844748858
TIC48188920,True,False,0.0730593607305936
TIC48018596,True,False,0.0410958904109589
TIC470987100,True,False,0.2191780821917808
TIC470852531,False,False,0.0
TIC470709084,False,False,0.0
TIC470381900,True,False,0.3378995433789954
TIC470315428,True,False,0.2785388127853881
TIC470159478,False,False,0.0
TIC470127886,False,False,0.0
TIC468845640,False,False,0.0
TIC468828873,True,False,0.1004566210045662
TIC468574941,True,False,0.1780821917808219
TIC468472950,True,False,0.1506849315068493
TIC467179528,False,False,0.0
TIC462615350,False,False,0.0
TIC461662295,True,False,0.2328767123287671
TIC461387302,True,False,0.2146118721461187
TIC459978312,False,False,0.0
TIC459970307,False,False,0.0
TIC459969957,False,False,0.0
TIC458914949,True,False,0.1963470319634703
TIC458478250,False,False,0.0
TIC457138169,True,False,0.2100456621004566
TIC455962313,False,False,0.0
TIC455791689,True,False,0.0136986301369863
TIC453387619,True,False,0.2648401826484018
TIC452803785,False,False,0.0
