Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC461662295,8.296444000000001,51.01037,True,True,True,False,1.0,0.574468085106383
TIC81212286,8.46884,56.42752900000001,True,True,True,False,1.0,0.925531914893617
TIC137500798,8.842334,82.92712,True,True,True,True,1.0,1.0
TIC302518439,8.941336,72.533275,True,True,True,True,1.0,1.0
TIC293617835,9.019831,55.85994,True,True,True,False,1.0,0.8936170212765957
TIC219698776,9.048843,71.636416,True,True,True,True,1.0,1.0
TIC457138169,9.42453,50.908874,True,True,True,False,1.0,0.5957446808510638
TIC86280613,9.448072,61.698995999999994,True,True,True,True,1.0,1.0
TIC287225295,9.600023,51.607784,True,True,True,False,1.0,0.6382978723404256
TIC147576037,9.622760000000001,68.458703,True,True,True,True,1.0,1.0
TIC137881699,10.038175,53.950824,True,True,True,False,1.0,0.7872340425531915
TIC142748283,10.107913,74.827211,True,True,True,True,1.0,1.0
TIC137906197,10.140186,55.53996,True,True,True,False,1.0,0.8936170212765957
TIC103633434,10.147884,69.27662,True,True,True,True,1.0,1.0
TIC103633672,10.148232,70.39455699999999,True,True,True,True,1.0,1.0
TIC252479260,10.378764,50.128710999999996,True,True,True,False,1.0,0.574468085106383
TIC355867695,10.476271,65.854199,True,True,True,True,1.0,1.0
TIC310981412,10.761852000000001,69.20078000000001,True,True,True,True,1.0,1.0
TIC349827430,10.793937,71.655732,True,True,True,True,1.0,1.0
TIC99834717,11.011147,64.96384499999999,True,True,True,True,1.0,1.0
TIC99869022,11.125377,61.352577000000004,True,True,True,True,1.0,1.0
TIC147950620,11.188097,69.964773,True,True,True,True,1.0,1.0
TIC147951030,11.19102,71.540754,True,True,True,True,1.0,1.0
TIC153949511,11.51652,66.796529,True,True,True,True,1.0,1.0
TIC900715901,11.599103,75.54662900000001,True,True,True,True,1.0,1.0
TIC138588540,11.758706,65.541314,True,True,True,True,1.0,1.0
TIC365938305,12.048433000000001,74.061009,True,True,True,True,1.0,1.0
TIC160268701,12.169245,77.352263,True,True,True,True,1.0,1.0
TIC224297258,12.337525,56.201409,True,True,True,False,1.0,0.9946808510638298
TIC224298134,12.35588,57.752364,True,True,True,True,1.0,1.0
TIC417931300,12.418237,60.418346,True,True,True,True,1.0,1.0
TIC417931607,12.434952000000001,61.258929,True,True,True,True,1.0,1.0
TIC148914726,12.470393,67.24003,True,True,True,True,1.0,1.0
TIC154568734,12.753193,72.12308399999999,True,True,True,True,1.0,1.0
TIC142276270,12.812327,64.855277,True,True,True,True,1.0,1.0
TIC198485881,12.982641000000001,77.661716,True,True,True,True,1.0,1.0
TIC229536616,13.054742,67.823436,True,True,True,True,1.0,1.0
TIC142381532,13.081315,63.753261,True,True,True,True,1.0,1.0
TIC232967440,13.178872,70.768024,True,True,True,True,1.0,1.0
TIC142387023,13.182082000000001,61.744849,True,True,True,True,1.0,1.0
TIC467179528,13.199772,65.833697,True,True,True,True,1.0,1.0
TIC232967666,13.21016,71.618138,True,True,True,True,1.0,1.0
TIC142394656,13.225906,62.30538000000001,True,True,True,True,1.0,1.0
TIC417948359,13.279747,49.861059000000004,True,True,True,False,1.0,0.6276595744680851
TIC232971294,13.296176,71.721051,True,True,True,True,1.0,1.0
TIC232976128,13.370772,66.308533,True,True,True,True,1.0,1.0
TIC298073824,13.422454,75.982713,True,True,True,True,1.0,1.0
TIC153951307,13.425489,68.83606800000001,True,True,True,True,1.0,1.0
TIC341544930,13.440978,65.306343,True,True,True,True,1.0,1.0
TIC286916251,13.559832,49.060843,True,True,True,False,1.0,0.5957446808510638
TIC286923464,13.567329999999998,53.728188,True,True,True,False,1.0,0.851063829787234
TIC153976959,13.569196,67.62123000000001,True,True,True,True,1.0,1.0
TIC219824469,13.629334,48.250122999999995,True,True,True,False,1.0,0.5585106382978723
TIC219436394,13.706230999999999,76.647981,True,True,True,True,1.0,1.0
TIC311035838,13.739601,48.028565,True,True,True,False,1.0,0.5478723404255319
TIC219462190,13.870197000000001,75.165261,True,True,True,True,1.0,1.0
TIC154089169,13.947814000000001,68.618204,True,True,True,True,1.0,1.0
TIC219466784,13.990560999999998,74.151228,True,True,True,True,1.0,1.0
TIC441642457,13.992154999999999,58.93291,True,True,True,True,1.0,1.0
TIC160045097,14.205251,74.41179100000001,True,True,True,True,1.0,1.0
TIC168699373,14.209591,47.014783,True,True,True,False,1.0,0.5159574468085106
TIC445859771,14.274723999999999,58.390253,True,True,True,True,1.0,1.0
TIC154383539,14.373477,55.334258999999996,True,True,True,False,1.0,0.973404255319149
TIC293687315,14.434922,59.444274,True,True,True,True,1.0,1.0
TIC233182695,14.602892,68.94069499999999,True,True,True,True,1.0,1.0
TIC298164705,14.622561,56.666183999999994,True,True,True,True,1.0,1.0
TIC288185138,14.856097,82.95225400000001,True,True,True,True,1.0,1.0
TIC219015370,14.872843,70.476557,True,True,True,True,1.0,1.0
TIC202426247,15.097114999999999,64.047682,True,True,True,True,1.0,1.0
TIC159244568,15.145332000000002,82.446925,True,True,True,True,1.0,1.0
TIC232540264,15.191191,71.841296,True,True,True,True,1.0,1.0
TIC283829553,15.237908,51.468846,True,True,True,False,1.0,0.7553191489361702
TIC202504234,15.354006,63.565284999999996,True,True,True,True,1.0,1.0
TIC272635712,15.410809,67.464751,True,True,True,True,1.0,1.0
TIC165763244,15.476033,55.18532,True,True,True,False,1.0,0.9893617021276596
TIC458478250,15.476443,66.358711,True,True,True,True,1.0,1.0
TIC116483514,15.529735999999998,47.055551,True,True,True,False,1.0,0.5425531914893617
TIC116483734,15.537722,47.860746,True,True,True,False,1.0,0.5797872340425532
TIC224313733,15.60661,57.890738,True,True,True,True,1.0,1.0
TIC272672133,15.616119,67.452579,True,True,True,True,1.0,1.0
TIC159781361,15.628784,48.955206,True,True,True,False,1.0,0.6329787234042553
TIC272679240,15.634153,69.017531,True,True,True,True,1.0,1.0
TIC405559035,15.657420000000002,55.153498,True,True,True,False,1.0,0.9893617021276596
