Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (SE),Fraction of observable time (SE)
TIC241076290,1.9355240000000002,52.58548199999999,568.2787,True,False,True,False,0.4931506849315068,0.4931506849315068
TIC292321872,2.1268130000000003,45.500156,512.2688,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC184679932,2.1529409999999998,40.401942,147.2711,True,False,True,False,0.4337899543378995,0.4337899543378995
TIC250724252,2.233683,53.121508,,True,False,True,False,0.4977168949771689,0.4977168949771689
TIC118301361,2.2797240000000003,29.570473,384.1426,True,False,True,False,0.1415525114155251,0.1415525114155251
TIC348135793,2.291798,56.421490000000006,344.8157,True,False,True,False,0.5251141552511416,0.5251141552511416
TIC187029841,2.303731,38.478823999999996,253.6462,True,False,True,False,0.3881278538812785,0.3881278538812785
TIC374400599,2.313193,64.356382,390.442,True,False,True,False,0.5707762557077626,0.5707762557077626
TIC348673213,2.387155,56.570014,,True,False,True,False,0.5296803652968036,0.5296803652968036
TIC129979528,2.447516,37.550444,122.363,True,False,True,False,0.365296803652968,0.365296803652968
TIC129991079,2.475494,40.891253999999996,209.9738,True,False,True,False,0.4520547945205479,0.4520547945205479
TIC286355915,2.526216,34.368925,378.4295,True,False,True,False,0.2831050228310502,0.2831050228310502
TIC249862365,2.541534,52.704091000000005,185.6665,True,False,True,False,0.4931506849315068,0.4931506849315068
TIC73448352,2.553872,30.360453000000003,284.317,True,False,True,False,0.1735159817351598,0.1735159817351598
TIC139375960,2.5574380000000003,41.013432,339.6508,True,False,True,False,0.45662100456621,0.45662100456621
TIC249945230,2.5873470000000003,48.273763,51.1161,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC245462406,2.588113,55.703217,560.3497,True,False,True,False,0.5205479452054794,0.5205479452054794
TIC50120414,2.659407,62.43330600000001,,True,False,True,False,0.589041095890411,0.589041095890411
TIC422923265,2.683039,42.871248,,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC51024887,2.810346,62.18926,,True,False,True,False,0.593607305936073,0.593607305936073
TIC302773669,2.829107,71.753088,78.262,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC408618999,2.8956310000000003,69.101345,89.1758,True,False,True,False,0.5068493150684932,0.5068493150684932
TIC285666479,2.907377,52.07103,772.0815,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC269892793,2.9528630000000002,33.312657,,True,False,True,False,0.2648401826484018,0.2648401826484018
TIC396562848,2.955925,76.551405,18.2372,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC68152139,2.96012,40.016703,227.6401,True,False,True,False,0.4383561643835616,0.4383561643835616
TIC251384275,2.9813490000000002,58.73524499999999,,True,False,True,False,0.5525114155251142,0.5525114155251142
TIC186599508,3.0058979999999997,39.068265999999994,171.4002,True,False,True,False,0.4155251141552511,0.4155251141552511
TIC376353509,3.026745,69.229924,69.9761,True,False,True,False,0.502283105022831,0.502283105022831
