Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC356473034,7.801785,50.225147,150.177,True,True,True,False,1.0,0.851063829787234
TIC53427308,7.925451,54.596601,253.0749,True,True,True,True,1.0,1.0
TIC285048486,8.040779,64.797153,60.9047,True,True,True,True,1.0,1.0
TIC461662295,8.296444,51.01037,113.3466,True,True,True,False,1.0,0.9042553191489362
TIC81212286,8.46884,56.427529,58.4153,True,True,True,True,1.0,1.0
TIC137500798,8.842334,82.92712,338.7878,True,True,True,True,1.0,1.0
TIC302518439,8.941336,72.533275,,True,True,True,True,1.0,1.0
TIC293617835,9.019831,55.85994,228.6289,True,True,True,True,1.0,1.0
TIC219698776,9.048843,71.636416,43.2404,True,True,True,True,1.0,1.0
TIC457138169,9.42453,50.908874,164.2117,True,True,True,False,1.0,0.9202127659574468
TIC86280613,9.448072,61.698996,250.4759,True,True,True,True,1.0,1.0
TIC287225295,9.600023,51.607784,90.9347,True,True,True,False,1.0,0.9627659574468085
TIC147576037,9.62276,68.458703,437.4836,True,True,True,True,1.0,1.0
TIC137881699,10.038175,53.950824,961.908,True,True,True,True,1.0,1.0
TIC142748283,10.107913,74.827211,,True,True,True,True,1.0,1.0
TIC137906197,10.140186,55.53996,158.313,True,True,True,True,1.0,1.0
TIC103633434,10.147884,69.27662,39.68,True,True,True,True,1.0,1.0
TIC103633672,10.148232,70.394557,84.7838,True,True,True,True,1.0,1.0
TIC252479260,10.378764,50.128711,81.9578,True,True,True,False,1.0,0.9042553191489362
TIC355867695,10.476271,65.854199,73.7545,True,True,True,True,1.0,1.0
TIC310981412,10.761852,69.20078,164.9593,True,True,True,True,1.0,1.0
TIC349827430,10.793937,71.655732,96.7867,True,True,True,True,1.0,1.0
TIC99834717,11.011147,64.963845,264.69,True,True,True,True,1.0,1.0
TIC99869022,11.125377,61.352577,250.2127,True,True,True,True,1.0,1.0
TIC147950620,11.188097,69.964773,150.3149,True,True,True,True,1.0,1.0
TIC147951030,11.19102,71.540754,138.858,True,True,True,True,1.0,1.0
TIC153949511,11.51652,66.796529,101.0662,True,True,True,True,1.0,1.0
TIC900715901,11.599103,75.546629,,True,True,True,True,1.0,1.0
TIC138588540,11.758706,65.541314,37.8286,True,True,True,True,1.0,1.0
TIC365938305,12.048433,74.061009,93.4798,True,True,True,True,1.0,1.0
TIC160268701,12.169245,77.352263,193.0278,True,True,True,True,1.0,1.0
TIC224297258,12.337525,56.201409,107.387,True,True,True,True,1.0,1.0
TIC224298134,12.35588,57.752364,37.1058,True,True,True,True,1.0,1.0
TIC417931300,12.418237,60.418346,53.0141,True,True,True,True,1.0,1.0
TIC417931607,12.434952,61.258929,92.1812,True,True,True,True,1.0,1.0
TIC148914726,12.470393,67.24003,86.6611,True,True,True,True,1.0,1.0
TIC154568734,12.753193,72.123084,103.2759,True,True,True,True,1.0,1.0
TIC142276270,12.812327,64.855277,84.7436,True,True,True,True,1.0,1.0
TIC198485881,12.982641,77.661716,,True,True,True,True,1.0,1.0
TIC229536616,13.054742,67.823436,,True,True,True,True,1.0,1.0
TIC142381532,13.081315,63.753261,71.7942,True,True,True,True,1.0,1.0
TIC232967440,13.178872,70.768024,132.8604,True,True,True,True,1.0,1.0
TIC142387023,13.182082,61.744849,59.5334,True,True,True,True,1.0,1.0
TIC467179528,13.199772,65.833697,36.0494,True,True,True,True,1.0,1.0
TIC232967666,13.21016,71.618138,210.6327,True,True,True,True,1.0,1.0
TIC142394656,13.225906,62.30538,109.901,True,True,True,True,1.0,1.0
TIC417948359,13.279747,49.861059,,True,True,True,False,1.0,0.9521276595744681
TIC232971294,13.296176,71.721051,179.1826,True,True,True,True,1.0,1.0
TIC232976128,13.370772,66.308533,140.0541,True,True,True,True,1.0,1.0
TIC298073824,13.422454,75.982713,310.7134,True,True,True,True,1.0,1.0
TIC153951307,13.425489,68.836068,,True,True,True,True,1.0,1.0
TIC341544930,13.440978,65.306343,405.976,True,True,True,True,1.0,1.0
TIC286916251,13.559832,49.060843,156.4945,True,True,True,False,1.0,0.9202127659574468
TIC286923464,13.56733,53.728188,92.5052,True,True,True,True,1.0,1.0
