Name         Time      RA        DEC       freqrng      dur 
B0329+54     07:03:00 0.929341 0.949648  110e6:190.2e6 3m
TIC250724252 07:07:00 0.584777 0.927145  110e6:190.2e6 15m
TIC249862365 07:23:00 0.665372 0.91986   110e6:190.2e6 15m
TIC51024887  07:39:00 0.735747 1.085407  110e6:190.2e6 15m
TIC81831095  07:55:00 0.834383 1.077957  110e6:190.2e6 15m
TIC316254876 08:11:00 0.907377 0.957586  110e6:190.2e6 15m
TIC431899140 08:27:00 0.981268 0.79425   110e6:190.2e6 15m
TIC266500992 08:43:00 1.067657 0.912057  110e6:190.2e6 15m
TIC470315428 08:59:00 1.128329 0.922669  110e6:190.2e6 15m
TIC27677846  09:15:00 1.158377 0.809238  110e6:190.2e6 15m
TIC121966220 09:31:00 1.322922 0.7293    110e6:190.2e6 15m
