Name         Time      RA        DEC       freqrng      dur 
B0329+54     07:03:00 0.929341 0.949648 110e6:190.2e6 3m
TIC259151170 07:07:00 0.878702 0.919651 110e6:190.2e6 15m
TIC285674856 07:23:00 0.928451 0.905555 110e6:190.2e6 15m
TIC73104318 07:39:00 1.077245 1.020415 110e6:190.2e6 15m
TIC85031598 07:55:00 1.140504 1.086384 110e6:190.2e6 15m
TIC9837861 08:11:00 1.231305 0.947575 110e6:190.2e6 15m
TIC321041369 08:27:00 1.425429 0.994203 110e6:190.2e6 15m
TIC311121985 08:43:00 1.493675 0.864173 110e6:190.2e6 15m
TIC468828873 08:59:00 1.60347 1.166887 110e6:190.2e6 15m
TIC138168780 09:15:00 1.654449 1.288534 110e6:190.2e6 15m
TIC396740648 09:31:00 1.706037 1.158211 110e6:190.2e6 15m
TIC149833117 09:47:00 1.826113 1.181192 110e6:190.2e6 15m
