Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC346929661,0.06517,59.334681,True,True,True,True,1.0,1.0
TIC347013211,0.074617,54.934497,True,True,True,True,1.0,1.0
TIC396356111,0.173304,58.489439,True,True,True,True,1.0,1.0
TIC461387302,0.201453,66.650523,True,True,True,True,1.0,1.0
TIC403256331,0.283289,58.679253,True,True,True,True,1.0,1.0
TIC327579226,0.315749,57.200629,True,True,True,True,1.0,1.0
TIC403308915,0.34659,55.542814,True,True,True,True,1.0,1.0
TIC407059875,0.364636,66.168119,True,True,True,True,1.0,1.0
TIC202375913,0.397697,51.468293,True,True,True,True,1.0,1.0
TIC354600221,0.404978,57.881718,True,True,True,True,1.0,1.0
TIC444415148,0.420594,62.543115,True,True,True,True,1.0,1.0
TIC418987806,0.434628,63.319412,True,True,True,True,1.0,1.0
TIC320506985,0.544238,54.654594,True,True,True,True,1.0,1.0
TIC284050395,0.599325,65.026035,True,True,True,True,1.0,1.0
TIC240681314,0.630583,51.288778,True,True,True,True,1.0,1.0
TIC284441182,0.67261,61.213387,True,True,True,True,1.0,1.0
TIC420288086,0.730848,61.835626,True,True,True,True,1.0,1.0
TIC312259170,0.736185,59.464498,True,True,True,True,1.0,1.0
TIC445144327,0.748944,58.712058,True,True,True,True,1.0,1.0
TIC445137888,0.753493,56.070058,True,True,True,True,1.0,1.0
TIC445254275,0.81441,59.386718,True,True,True,True,1.0,1.0
TIC312469860,0.858762,55.710926,True,True,True,True,1.0,1.0
TIC285543785,0.881468,60.891685,True,True,True,True,1.0,1.0
TIC285542903,0.88467,60.618112,True,True,True,True,1.0,1.0
TIC312678993,0.90649,54.528009,True,True,True,True,1.0,1.0
TIC306955329,0.940951,48.637517,True,True,True,False,1.0,0.8882978723404256
TIC52041724,0.941299,65.679038,True,True,True,True,1.0,1.0
TIC307111282,0.976008,50.936428,True,True,True,True,1.0,1.0
