Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC367855829,18.457876,73.264575,173.1242,True,True,True,False,1.0,0.9308510638297872
TIC288631580,18.528346,82.305949,122.9302,True,True,True,True,1.0,1.0
TIC229715760,18.599302,70.160757,,True,True,True,False,1.0,0.7287234042553191
TIC288636342,18.630957,78.61111,344.4712,True,True,True,True,1.0,1.0
TIC288636599,18.649633,79.23835,376.3643,True,True,True,True,1.0,1.0
TIC229742722,18.655451,69.522873,225.8458,True,True,True,False,1.0,0.6914893617021277
TIC229747848,18.688445,70.290054,148.0977,True,True,True,False,1.0,0.7393617021276596
TIC229750058,18.711945,66.303112,,True,True,True,False,1.0,0.5372340425531915
TIC229650439,18.728252,74.937833,110.8672,True,True,True,True,1.0,1.0
TIC424391516,18.771843,75.303367,244.242,True,True,True,True,1.0,1.0
TIC288735205,18.806678,79.256476,,True,True,True,True,1.0,1.0
TIC229770036,18.811557,70.840191,102.0096,True,True,True,False,1.0,0.7712765957446809
TIC394029948,18.815309,78.568946,183.2878,True,True,True,True,1.0,1.0
TIC394050135,18.853017,82.245414,339.2706,True,True,True,True,1.0,1.0
TIC229781583,18.902369,69.633534,,True,True,True,False,1.0,0.7074468085106383
TIC229787062,18.934845,70.25412,,True,True,True,False,1.0,0.7393617021276596
TIC229791084,18.962927,69.570837,568.214,True,True,True,False,1.0,0.7021276595744681
TIC235678745,19.042435,75.418514,41.9685,True,True,True,True,1.0,1.0
TIC230387153,19.061446,65.785672,203.4464,True,True,True,False,1.0,0.526595744680851
TIC362220495,19.081864,79.755949,34.2353,True,True,True,True,1.0,1.0
TIC1718201850,19.116437,71.712195,,True,True,True,False,1.0,0.8351063829787234
TIC258777137,19.116476,71.712375,,True,True,True,False,1.0,0.8351063829787234
TIC258777134,19.116525,71.7136,,True,True,True,False,1.0,0.8351063829787234
TIC258801269,19.135006,66.290697,374.7002,True,True,True,False,1.0,0.5478723404255319
TIC235683377,19.152807,74.174276,41.215,True,True,True,True,1.0,1.0
TIC258829450,19.177755,66.768093,,True,True,True,False,1.0,0.5691489361702128
TIC258871793,19.192986,66.328065,,True,True,True,False,1.0,0.5531914893617021
TIC420112587,19.344932,73.195993,30.5642,True,True,True,False,1.0,0.9414893617021277
TIC420112589,19.344932,73.195108,30.5482,True,True,True,False,1.0,0.9414893617021277
TIC235905185,19.391828,78.754217,,True,True,True,True,1.0,1.0
TIC259126549,19.427457,69.11298,,True,True,True,False,1.0,0.6914893617021277
TIC259129875,19.458683,68.014695,586.4071,True,True,True,False,1.0,0.6329787234042553
TIC259168516,19.487599,65.973802,,True,True,True,False,1.0,0.5425531914893617
TIC259172391,19.517849,71.497358,216.5909,True,True,True,False,1.0,0.8297872340425532
TIC237201858,19.521554,72.538317,235.0895,True,True,True,False,1.0,0.898936170212766
TIC237200747,19.5355,74.891073,,True,True,True,True,1.0,1.0
TIC235937532,19.594307,81.554791,613.6852,True,True,True,True,1.0,1.0
TIC237211410,19.62507,74.78231,244.3375,True,True,True,True,1.0,1.0
TIC264171144,19.626011,66.971432,180.424,True,True,True,False,1.0,0.5904255319148937
TIC235943205,19.728516,78.725919,190.2226,True,True,True,True,1.0,1.0
TIC237222864,19.749641,74.062858,66.0759,True,True,True,True,1.0,1.0
TIC264303333,19.757,67.310971,142.6717,True,True,True,False,1.0,0.6063829787234043
TIC258389327,19.780686,70.071943,,True,True,True,False,1.0,0.75
TIC237232044,19.826579,76.139178,86.0163,True,True,True,True,1.0,1.0
TIC280031353,19.827746,68.883354,,True,True,True,False,1.0,0.6861702127659575
TIC269701147,20.135042,66.850301,53.6921,True,True,True,False,1.0,0.5957446808510638
TIC402898317,20.182502,70.869653,82.9972,True,True,True,False,1.0,0.8031914893617021
TIC236887394,20.225458,65.162331,186.612,True,True,True,False,1.0,0.526595744680851
TIC236934268,20.284442,65.153844,206.1006,True,True,True,False,1.0,0.526595744680851
TIC236934937,20.286604,65.871559,69.5183,True,True,True,False,1.0,0.5531914893617021
TIC258510872,20.311015,66.155954,,True,True,True,False,1.0,0.5691489361702128
TIC258514800,20.364995,70.943705,125.9192,True,True,True,False,1.0,0.8138297872340425
TIC364074068,20.421918,77.636412,,True,True,True,True,1.0,1.0
TIC387259626,20.578019,66.440384,247.4451,True,True,True,False,1.0,0.5851063829787234
TIC387260717,20.623255,70.954088,161.8359,True,True,True,False,1.0,0.8191489361702128
TIC315755496,20.688758,82.435302,593.4718,True,True,True,True,1.0,1.0
TIC387413037,20.749102,69.151807,308.4706,True,True,True,False,1.0,0.7180851063829787
