Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC198206613,16.469564000000002,63.499098,True,False,True,True,0.7649402390438247,1.0
TIC230087585,16.475042000000002,69.030975,True,True,True,True,1.0,1.0
TIC230088370,16.490446,71.505872,True,True,True,True,1.0,1.0
TIC159510109,16.502316,80.30775600000001,True,True,True,True,1.0,1.0
TIC233009109,16.550216,72.925534,True,True,True,True,1.0,1.0
TIC198211976,16.555552,63.524496,True,False,True,True,0.7649402390438247,1.0
TIC233497719,16.634666,77.756401,True,True,True,True,1.0,1.0
TIC198241702,16.646442999999998,64.55918100000001,True,False,True,True,0.8645418326693227,1.0
TIC367739494,16.692199,80.04588000000001,True,True,True,True,1.0,1.0
TIC233500935,16.715993,76.449587,True,True,True,True,1.0,1.0
TIC230127302,16.741058,70.429992,True,True,True,True,1.0,1.0
TIC289539327,16.775565,65.71503,True,True,True,True,1.0,1.0
TIC289590465,16.896186,65.293961,True,False,True,True,0.9561752988047809,1.0
TIC356016119,16.942836,70.027316,True,True,True,True,1.0,1.0
TIC356700488,16.96371,68.69958100000001,True,True,True,True,1.0,1.0
TIC459969957,16.987744,65.747438,True,True,True,True,1.0,1.0
TIC459970307,16.994936,64.699211,True,False,True,True,0.8844621513944223,1.0
TIC367753709,17.026714000000002,79.067126,True,True,True,True,1.0,1.0
TIC459978312,17.037694000000002,64.600893,True,False,True,True,0.8764940239043825,1.0
TIC219850915,17.085304,69.519093,True,True,True,True,1.0,1.0
TIC219852882,17.108178,68.843303,True,True,True,True,1.0,1.0
TIC307956397,17.110818,63.778634999999994,True,False,True,True,0.796812749003984,1.0
TIC219852584,17.11148,67.871503,True,True,True,True,1.0,1.0
TIC219854185,17.118043,70.23848100000001,True,True,True,True,1.0,1.0
TIC237108272,17.14263,78.587055,True,True,True,True,1.0,1.0
TIC219857012,17.155258,71.876672,True,True,True,True,1.0,1.0
TIC219860288,17.183155,71.87220400000001,True,True,True,True,1.0,1.0
TIC441732151,17.191782999999997,72.13555500000001,True,True,True,True,1.0,1.0
TIC441739020,17.267817,72.161181,True,True,True,True,1.0,1.0
TIC232612416,17.268239,63.10560699999999,True,False,True,True,0.7450199203187251,1.0
TIC441738827,17.283635999999998,72.747023,True,True,True,True,1.0,1.0
TIC441739871,17.304278,74.30272099999999,True,True,True,True,1.0,1.0
TIC233680651,17.353537,63.239281999999996,True,False,True,True,0.7569721115537849,1.0
TIC233681149,17.357654,65.012281,True,False,True,True,0.9282868525896414,1.0
TIC233684293,17.384192000000002,63.110741000000004,True,False,True,True,0.7450199203187251,1.0
TIC233684822,17.393526,64.862363,True,False,True,True,0.9123505976095617,1.0
TIC219879302,17.40863,67.989121,True,True,True,True,1.0,1.0
TIC441765914,17.424993,75.88228000000001,True,True,True,True,1.0,1.0
TIC219762508,17.507018,63.123014000000005,True,False,True,True,0.749003984063745,1.0
TIC219778329,17.590138,64.38013199999999,True,False,True,True,0.8605577689243028,1.0
TIC441798995,17.60986,77.126216,True,True,True,True,1.0,1.0
TIC441797803,17.625263,73.261193,True,True,True,True,1.0,1.0
TIC233211762,17.779072,70.784502,True,True,True,True,1.0,1.0
TIC219821826,17.868636,62.79094,True,False,True,True,0.7290836653386454,1.0
TIC233059608,17.987159,64.14264399999999,True,False,True,True,0.8446215139442231,1.0
TIC233068569,18.037206,63.54963000000001,True,False,True,True,0.7928286852589641,1.0
TIC229586455,18.091235,75.145628,True,True,True,True,1.0,1.0
TIC233078665,18.107459,62.176751,True,False,True,False,0.6892430278884463,0.628
TIC288516853,18.233154000000003,80.658462,True,True,True,True,1.0,1.0
TIC233120979,18.235283,62.858243,True,False,True,True,0.7410358565737052,1.0
TIC229608594,18.300804,74.466535,True,True,True,True,1.0,1.0
TIC406855039,18.324701,71.248626,True,True,True,True,1.0,1.0
TIC233688779,18.359573,62.369002,True,False,True,False,0.7091633466135459,0.768
TIC356867115,18.390836,71.581748,True,True,True,True,1.0,1.0
TIC233720539,18.425286,63.488103,True,False,True,True,0.7928286852589641,1.0
TIC233721037,18.426270000000002,64.636881,True,False,True,True,0.9043824701195219,1.0
TIC367855829,18.457876000000002,73.264575,True,True,True,True,1.0,1.0
TIC288631580,18.528346,82.305949,True,True,True,True,1.0,1.0
TIC229715760,18.599301999999998,70.16075699999999,True,True,True,True,1.0,1.0
TIC288636342,18.630957000000002,78.61111,True,True,True,True,1.0,1.0
TIC288636599,18.649632999999998,79.23835,True,True,True,True,1.0,1.0
TIC229742722,18.655451,69.522873,True,True,True,True,1.0,1.0
TIC229747848,18.688445,70.290054,True,True,True,True,1.0,1.0
TIC229750058,18.711945,66.303112,True,True,True,True,1.0,1.0
TIC229650439,18.728251999999998,74.937833,True,True,True,True,1.0,1.0
TIC233541860,18.746525,62.685643999999996,True,False,True,True,0.7370517928286853,1.0
TIC424391516,18.771843,75.30336700000001,True,True,True,True,1.0,1.0
TIC288735205,18.806678,79.256476,True,True,True,True,1.0,1.0
TIC229770036,18.811557,70.840191,True,True,True,True,1.0,1.0
TIC394029948,18.815309,78.568946,True,True,True,True,1.0,1.0
TIC233602827,18.849149,64.419466,True,False,True,True,0.8884462151394422,1.0
TIC394050135,18.853017,82.245414,True,True,True,True,1.0,1.0
TIC229781583,18.902369,69.633534,True,True,True,True,1.0,1.0
TIC233617847,18.919636999999998,64.53137,True,False,True,True,0.900398406374502,1.0
TIC229787062,18.934845000000003,70.25412,True,True,True,True,1.0,1.0
TIC229791084,18.962927,69.570837,True,True,True,True,1.0,1.0
TIC230375747,19.001378,63.42983,True,False,True,True,0.8007968127490039,1.0
TIC235678745,19.042435,75.418514,True,True,True,True,1.0,1.0
TIC230386259,19.048568,63.948848999999996,True,False,True,True,0.8446215139442231,1.0
TIC230386397,19.052401,64.23025600000001,True,False,True,True,0.8725099601593626,1.0
TIC230387153,19.061446,65.78567199999999,True,True,True,True,1.0,1.0
TIC362220495,19.081864000000003,79.755949,True,True,True,True,1.0,1.0
TIC1718201850,19.116437,71.712195,True,True,True,True,1.0,1.0
TIC258777137,19.116476000000002,71.712375,True,True,True,True,1.0,1.0
TIC258777134,19.116525,71.7136,True,True,True,True,1.0,1.0
TIC258801269,19.135006,66.290697,True,True,True,True,1.0,1.0
TIC235683377,19.152807,74.174276,True,True,True,True,1.0,1.0
TIC258829450,19.177754999999998,66.76809300000001,True,True,True,True,1.0,1.0
TIC229938290,19.178734,64.153662,True,False,True,True,0.8645418326693227,1.0
TIC258871793,19.192985999999998,66.32806500000001,True,True,True,True,1.0,1.0
TIC229940491,19.203301,63.657061,True,False,True,True,0.8207171314741036,1.0
TIC229944666,19.225665,62.203124,True,False,True,False,0.7091633466135459,0.652
TIC420112589,19.344932,73.19510799999999,True,True,True,True,1.0,1.0
TIC420112587,19.344932,73.195993,True,True,True,True,1.0,1.0
TIC235905185,19.391828,78.75421700000001,True,True,True,True,1.0,1.0
TIC259126549,19.427457,69.11298000000001,True,True,True,True,1.0,1.0
TIC230017324,19.431020999999998,61.776153,True,False,True,False,0.6852589641434262,0.552
TIC230017325,19.431275,61.776068,True,False,True,False,0.6852589641434262,0.552
TIC259129875,19.458682999999997,68.01469499999999,True,True,True,True,1.0,1.0
TIC259168516,19.487599,65.973802,True,True,True,True,1.0,1.0
TIC229400092,19.497255,62.529189,True,False,True,True,0.7370517928286853,1.0
TIC259172391,19.517849,71.49735799999999,True,True,True,True,1.0,1.0
TIC237201858,19.521554000000002,72.538317,True,True,True,True,1.0,1.0
TIC237200747,19.5355,74.89107299999999,True,True,True,True,1.0,1.0
TIC235937532,19.594307,81.55479100000001,True,True,True,True,1.0,1.0
TIC237211410,19.62507,74.78231,True,True,True,True,1.0,1.0
TIC264171144,19.626011,66.971432,True,True,True,True,1.0,1.0
TIC235943205,19.728516,78.72591899999999,True,True,True,True,1.0,1.0
TIC237222864,19.749641,74.06285799999999,True,True,True,True,1.0,1.0
TIC229490898,19.750487,64.791904,True,False,True,True,0.9402390438247012,1.0
TIC264303333,19.757,67.310971,True,True,True,True,1.0,1.0
TIC258389327,19.780686,70.071943,True,True,True,True,1.0,1.0
TIC229510866,19.814388,64.354351,True,False,True,True,0.896414342629482,1.0
TIC237232044,19.826579000000002,76.139178,True,True,True,True,1.0,1.0
TIC280031353,19.827745999999998,68.883354,True,True,True,True,1.0,1.0
TIC269701147,20.135042000000002,66.850301,True,True,True,True,1.0,1.0
TIC402898317,20.182502,70.869653,True,True,True,True,1.0,1.0
TIC236887394,20.225458,65.16233100000001,True,False,True,True,0.9920318725099602,1.0
TIC236934268,20.284442000000002,65.15384399999999,True,False,True,True,0.9920318725099602,1.0
TIC236934937,20.286604,65.87155899999999,True,True,True,True,1.0,1.0
TIC258510872,20.311015,66.15595400000001,True,True,True,True,1.0,1.0
TIC258514800,20.364995,70.94370500000001,True,True,True,True,1.0,1.0
TIC364074068,20.421917999999998,77.63641199999999,True,True,True,True,1.0,1.0
TIC237071229,20.468183,61.871411,True,False,True,False,0.7091633466135459,0.588
TIC237086564,20.493102,61.550725,True,False,True,False,0.6892430278884463,0.528
TIC387259626,20.578019,66.440384,True,True,True,True,1.0,1.0
TIC352764091,20.583175,63.474938,True,False,True,True,0.8286852589641435,1.0
TIC387260717,20.623255,70.954088,True,True,True,True,1.0,1.0
TIC315755496,20.688758,82.43530200000001,True,True,True,True,1.0,1.0
TIC387413037,20.749102,69.15180699999999,True,True,True,True,1.0,1.0
TIC387527558,20.821804999999998,70.796604,True,True,True,True,1.0,1.0
TIC365733349,20.877802,65.608783,True,True,True,True,1.0,1.0
TIC365673804,20.889277,64.229166,True,False,True,True,0.900398406374502,1.0
TIC364186197,20.900736,72.580646,True,True,True,True,1.0,1.0
TIC367102581,20.951269,78.67491700000001,True,True,True,True,1.0,1.0
TIC387834907,21.044607,70.0803,True,True,True,True,1.0,1.0
TIC265146266,21.126179999999998,74.383252,True,True,True,True,1.0,1.0
TIC367099243,21.181946,72.615356,True,True,True,True,1.0,1.0
TIC388076005,21.20332,68.05247,True,True,True,True,1.0,1.0
TIC321688498,21.439972,68.64053100000001,True,True,True,True,1.0,1.0
TIC321857016,21.529454,66.349005,True,True,True,True,1.0,1.0
TIC322054600,21.591345,68.987307,True,True,True,True,1.0,1.0
TIC316468545,21.593885999999998,65.437536,True,True,True,True,1.0,1.0
TIC322062001,21.615924,69.283946,True,True,True,True,1.0,1.0
TIC405794804,21.647627,65.039172,True,True,True,True,1.0,1.0
TIC322202434,21.688337,68.807202,True,True,True,True,1.0,1.0
TIC264544388,21.762559,79.613939,True,True,True,True,1.0,1.0
TIC408636441,21.790111,62.753816,True,False,True,True,0.7928286852589641,1.0
TIC350132371,21.939424,68.998035,True,True,True,True,1.0,1.0
TIC470127886,22.074521,81.565951,True,True,True,True,1.0,1.0
TIC372264750,22.087176,66.775296,True,True,True,True,1.0,1.0
TIC334811204,22.113451,63.59904399999999,True,False,True,True,0.8645418326693227,1.0
TIC335483600,22.174243,63.55055,True,False,True,True,0.8605577689243028,1.0
TIC470159478,22.220782,81.739729,True,True,True,True,1.0,1.0
TIC375850439,22.419669,67.971168,True,True,True,True,1.0,1.0
TIC455962313,22.669106,65.439728,True,True,True,True,1.0,1.0
TIC376637093,22.672307999999997,69.503731,True,True,True,True,1.0,1.0
TIC376682699,22.690151,69.07444699999999,True,True,True,True,1.0,1.0
TIC376838000,22.72731,69.091928,True,True,True,True,1.0,1.0
TIC377144784,22.829595,68.251071,True,True,True,True,1.0,1.0
TIC427320001,22.923622,70.29729,True,True,True,True,1.0,1.0
TIC434718964,23.032538,64.067337,True,False,True,True,0.9203187250996016,1.0
TIC377739433,23.238279000000002,65.957972,True,True,True,True,1.0,1.0
TIC417705690,23.240502,76.93432,True,True,True,True,1.0,1.0
TIC427654774,23.285938,70.19057600000001,True,True,True,True,1.0,1.0
TIC422656370,23.311472,68.299217,True,True,True,True,1.0,1.0
TIC317397615,23.319754999999997,75.017864,True,True,True,True,1.0,1.0
TIC269238073,23.348848999999998,62.161179000000004,True,False,True,False,0.7768924302788844,0.704
TIC428988981,23.350209,79.44178199999999,True,True,True,True,1.0,1.0
TIC317507345,23.411648,77.627113,True,True,True,True,1.0,1.0
TIC270238522,23.443228,64.304699,True,False,True,True,0.952191235059761,1.0
TIC427761355,23.484501,67.034806,True,True,True,True,1.0,1.0
TIC272049972,23.694444,62.921485,True,False,True,True,0.8366533864541833,1.0
TIC272625214,23.754572,62.142699,True,False,True,False,0.7808764940239044,0.708
TIC366074069,23.784705,69.049522,True,True,True,True,1.0,1.0
TIC470709084,23.82454,61.682818999999995,True,False,True,False,0.7529880478087649,0.608
TIC378291076,23.880909,61.36026,True,False,True,False,0.7330677290836654,0.556
TIC470852531,23.982745,61.554089000000005,True,False,True,False,0.749003984063745,0.588
TIC265460043,23.990207,68.384119,True,True,True,True,1.0,1.0
